column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
Состав земель,str,0.0,4,0.0172,0.7198,1.0,False,False,False,False,False,[]
Форма собственности,str,0.0,5,0.0216,0.7112,1.0,False,False,False,False,False,[]
"Здания (сооружения), повреждено",int64,0.0,3,0.0129,0.7112,0.22717942976563668,False,False,False,False,False,[]
Результат проверки по пожару,str,0.0,8,0.0345,0.694,1.0,False,False,False,False,False,[]
"Количество условий, способствовав",int64,0.0,3,0.0129,0.6336,0.2630056724884311,False,False,False,False,False,[]
Количество участников тушения пож,int64,0.0,4,0.0172,0.6336,0.3468428123600539,False,False,False,False,False,[]
"Здания (сооружения), уничтожено",int64,0.0,4,0.0172,0.6293,0.3755597850425436,False,False,False,False,False,[]
Пожар на открытой территории,str,0.0,2,0.0086,0.6207,1.0,False,False,False,False,False,[]
"Площадь м2, уничтожено",int64,0.0,47,0.2026,0.5862,43091924.55782578,False,False,False,False,False,[]
Территориальная принадлежность,str,0.0,6,0.0259,0.5776,1.0,False,False,False,False,False,[]
Виновник пожара установлен,str,0.0,3,0.0129,0.4353,1.0,False,False,False,False,False,[]
Расчетный ущерб по пожару,float64,0.0,123,0.5302,0.4353,1491953077058777.0,False,False,False,False,False,[]
Изделие (устройство),str,0.0,21,0.0905,0.4095,1.0,False,False,False,False,False,[]
Причина пожара (общая),str,0.0,24,0.1034,0.3793,1.0,False,False,False,False,False,[]
"Площадь м2, повреждено",int64,0.0,57,0.2457,0.3793,105384994.61425212,False,False,False,False,False,[]
Наименование объекта,str,0.0,53,0.2284,0.1638,1.0,False,False,False,False,False,[]
Широта,float64,0.0,53,0.2284,0.1379,376.329446234521,False,False,False,False,False,[]
Долгота,float64,0.0,53,0.2284,0.1379,1026.2651994644068,False,False,False,False,False,[]
ОКТМО. Код,int64,0.0,43,0.1853,0.1207,77001359680992.61,False,False,False,False,False,[]
ОКТМО. Текст,str,0.0,42,0.181,0.1207,1.0,False,False,False,False,False,[]
Удаленность от ближайшей ПЧ,int64,0.0,46,0.1983,0.0862,138.1215106732348,False,False,False,False,False,[]
Площадь пожара,int64,0.0,74,0.319,0.056,146488155.73637858,False,False,False,False,False,[]
Адрес,str,0.0,191,0.8233,0.056,1.0,False,False,False,False,False,[]
Дата возникновения пожара,str,0.0,123,0.5302,0.0431,1.0,False,False,False,False,False,[]
п/п,int64,0.0,232,1.0,0.0043,4504.666666666667,False,False,False,False,False,[]
Идентификатор,int64,0.0,232,1.0,0.0043,3365605164.720107,False,False,False,False,False,[]
Номер КУП,str,0.0,232,1.0,0.0043,1.0,False,False,False,False,False,[]
