column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
ОНД,str,0.0,1,0.0023,1.0,1.0,False,True,False,True,True,"['Константная колонка', 'Почти всегда одно и то же значение']"
Пожар на объекте культурного насл,str,0.0,1,0.0023,1.0,1.0,False,True,False,True,True,"['Константная колонка', 'Почти всегда одно и то же значение']"
Наличие последствий пожара,str,0.0,1,0.0023,1.0,1.0,False,True,False,True,True,"['Константная колонка', 'Почти всегда одно и то же значение']"
"Апартаменты, уничтожено",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Апартаменты, повреждено",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Зерновые и зернобобовые, уничтоже",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Зерновые и зернобобовые, поврежде",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Корма, повреждено",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Технические культуры, уничтожено",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Технические культуры, повреждено",int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Эвакуировано на пожаре,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено сооружений,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено зданий,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено крупного скота,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено мелкого скота,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено автотракторной и другой т,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено материальных ценностей,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Спасено детей,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Эвакуировано детей,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
Расчетный ущерб по пожару,int64,0.0,1,0.0023,1.0,0.0,False,True,True,True,True,"['Константная колонка', 'Почти нет разброса', 'Почти всегда одно и то же значение']"
"Количество статей УК, по которым в",int64,0.0,2,0.0046,0.9977,0.0022988505747126445,False,False,False,True,True,['Почти всегда одно и то же значение']
Пожар по сверке,str,0.0,2,0.0046,0.9977,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
Вид населенного пункта,str,0.0,2,0.0046,0.9977,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество записей о системах ППЗ,int64,0.0,2,0.0046,0.9977,0.002298850574712644,False,False,False,True,True,['Почти всегда одно и то же значение']
